Block,Treat,Year,Heather,Exotic dicots,Exotic monocots,Native dicots,Native monocots,Bryophytes,Lichen,Clubmoss,bare,litter
1,B,2008,0.402,0.072,0.022,0.162,0.03,0.182,0.017,0,0.009,0.104
2,B,2008,0.665,0.044,0.018,0.138,0.01,0.058,0.03,0,0.004,0.033
3,B,2008,0.533,0.055,0.016,0.059,0.015,0.153,0.121,0.012,0.008,0.028
4,B,2008,0.6,0.026,0.023,0.096,0.069,0.067,0.056,0,0.004,0.058
5,B,2008,0.467,0.028,0.015,0.1,0.034,0.247,0.043,0.003,0.012,0.05
6,B,2008,0.6,0.025,0.017,0.084,0.031,0.104,0.059,0.004,0,0.076
1,C,2008,0.418,0.022,0.015,0.081,0.033,0.31,0.082,0.004,0.01,0.025
2,C,2008,0.6,0.038,0.008,0.045,0.008,0.049,0.231,0,0,0.022
3,C,2008,0.442,0.033,0.018,0.084,0.09,0.223,0.087,0.003,0.004,0.015
4,C,2008,0.331,0.076,0.019,0.184,0.117,0.091,0.057,0.004,0.023,0.098
5,C,2008,0.429,0.027,0.016,0.102,0.031,0.221,0.056,0,0.012,0.107
6,C,2008,0.729,0.014,0.024,0.049,0.03,0.103,0.047,0.005,0,0
1,H,2008,0.346,0.012,0.012,0.1,0.072,0.252,0.087,0.008,0.008,0.105
2,H,2008,0.613,0.026,0.02,0.096,0.07,0.014,0.042,0,0.005,0.114
3,H,2008,0.442,0.037,0.025,0.065,0.053,0.25,0.097,0.007,0.004,0.022
4,H,2008,0.45,0.041,0.022,0.029,0.064,0.268,0.062,0.007,0.011,0.046
5,H,2008,0.339,0.045,0.017,0.08,0.014,0.38,0.022,0,0.004,0.1
6,H,2008,0.586,0.005,0.013,0.056,0.061,0.234,0.04,0,0,0.005
1,HB,2008,0.503,0.018,0.016,0.145,0.048,0.069,0.101,0,0.003,0.096
2,HB,2008,0.727,0.034,0.019,0.034,0.048,0.005,0.112,0,0,0.019
3,HB,2008,0.507,0.039,0.015,0.093,0.064,0.015,0.191,0.011,0.015,0.051
4,HB,2008,0.47,0.033,0.018,0.127,0.111,0.009,0.091,0.009,0,0.131
5,HB,2008,0.243,0.039,0.017,0.197,0.028,0.261,0.158,0.003,0.007,0.047
6,HB,2008,0.635,0.016,0.013,0.034,0.05,0.163,0.086,0,0,0.004
1,B,2009,0.005,0.108,0.045,0.192,0.038,0.158,0.029,0,0.005,0.421
2,B,2009,0,0.077,0.017,0.174,0.027,0.08,0.038,0,0.004,0.584
3,B,2009,0.103,0.061,0.02,0.067,0.015,0.181,0.086,0.011,0.007,0.449
4,B,2009,0.014,0.042,0.027,0.119,0.092,0.027,0.044,0.004,0.009,0.622
5,B,2009,0.004,0.024,0.016,0.126,0.037,0.258,0.036,0.004,0.008,0.488
6,B,2009,0.017,0.031,0.019,0.111,0.032,0.084,0.084,0.014,0,0.608
1,C,2009,0.512,0.024,0.016,0.079,0.041,0.254,0.05,0.005,0,0.02
2,C,2009,0.66,0.051,0.013,0.07,0.013,0.046,0.134,0,0,0.013
3,C,2009,0.583,0.032,0.021,0.098,0.048,0.156,0.033,0.005,0,0.024
