Write down four words to describe how you're feeling about this course. Separate your four words by commas.,Write down one word to describe how *you* think the majority of your classmates are feeling.,Write down one word to describe how *you* think the instructors are feeling.
"Excited, Hopeful, Prepared, good",Ready,Informed
"Unsure, confused, anxious, curious",apathetic,Excited
"Co operations, Teamwork, communication, critical thinking",Teamwork,I will let them pass the last one
a,a,a
"First, team work, nervous, curious ",Nervous ,New
Interesting. New. Exciting. Develop,Interesting ,Excited 
perplexed，anxious，embarrassed，bit excited,hopefully kind,responsible
"Novel, Unknown, Challenging, Useful",Nervous,accustomed
"Worried, excited, self-doubt, motivated",Nervous,Hopeful
"Excited,curious,nervous,worried",Excited,Eager
"Excited, nervous, confused, pleased",Similarly,Normal
"Delightful , Excited , Tense,  puzzled",Tense ,Amazed
"Helpful, intense,  team-based,  excited ",Helpful ,Excited 
"Scared, nervous, afraid, hard",Nervous,Excited
"nervous, united, hard, transition",Hard,flat
"Nervous, stressed, curious, confused ",Nervous ,Excited 
"Anxious, nervous, excited, apprehensive",Anxious,Excited
"cool,stressful,curiouseness,unknown",curiouness,curiouness
"excited,  curious, inquisitive, nervous",excited,self-confident
"Exciting, unknown, difficult, interesting",exciting,unsurprising
"Scared, nervous, worried, apprehensive ",Nervous,Excited
"progressive,practical,teamwork,dedicated",nervous,excited
"😎,🐒,🦦,💗",Vibey,Vibey
"Excited, nervous, interested, friends",Graduate,Excited
"Team,communication,interesting,hard work",exciting,Curious
"intrigued, concerned, interested",concerned,excited
"hard, teamwork, tricky, important","hard, cooperate, tricky, important",pathetic (when examing the student's work)  
"Statistics, R, data science, analyze ",interesting,preciseness
"Intrigued, Interested, Curious, Excited",Interested ,Excited
"Excited,curious,nervous,motivated",Excited ,Motivated 
"nervous, excited, curious, important cooperation, ",blank mind ,excited
"Excited, apprehensive, semi-prepared, weird",Nervous,Eager
"Challenging, Excited, Worry, Motivated",Uncertain,Exciting 
"try, work, report, review",pass,check
Nervous,Curious,Excited
"Venturesome, Interested, Doubtful, Indifferent",Interested,Curious 
